Worker,Location,Weight
2633,CHADIZA,3
2633,CHAMA,2
2633,Nchenlenge District,1
2634,Chongwe District,3
2634,Lusaka,2
2634,Kitwe District,1
2635,Nkeyema,3
2635,CHADIZA,2
2635,Chongwe District,1
2636,Kitwe District,3
2636,chipata,2
2636,Nkeyema,1
2637,Kabuta District,3
2637,Nalolo,2
2637,NGABWE,1
2638,Kasama,3
2638,Nchenlenge District,2
2638,Luampa,1
2639,Sikongo,3
2639,Kaoma,2
2639,NGABWE,1
2640,chipata,3
2640,CHAMA,2
2640,CHADIZA,1
2641,Mununga District,3
2641,Kabuta District,2
2641,Rufunsa,1
2642,Kalomo District,3
2642,CHAMA,2
2642,Sikongo,1
2643,Chongwe District,3
2643,Nchenlenge District,2
2643,Lusaka,1
2644,Nyimba,3
2644,CHADIZA,2
2645,Luampa,3
2645,CHAMA,2
2645,NGABWE,1
2646,Chongwe District,3
2646,CHADIZA,2
2646,chipata,1
2647,Chongwe District,3
2647,Nchenlenge District,2
2647,CHADIZA,1
2648,Kalomo District,3
2648,Livingstone District,2
2648,Lusaka,1
2649,Kalomo District,3
2649,chipata,2
2649,Chongwe District,1
2650,chipata,3
2650,Nalolo,2
2650,Luampa,1
2651,Kalomo District,3
2651,Mongu,2
2651,Chongwe District,1
2652,Kasama,3
2652,Livingstone District,2
2652,Lusaka,1
2653,Mongu,3
2653,Kaoma,2
2653,Kalomo District,1
2654,Chongwe District,3
2654,Kafue District,2
2654,Lusaka,1
2655,Nchenlenge District,3
2655,Kasama,2
2655,Chongwe District,1
2656,Luampa,3
2656,Nkeyema,2
2656,Nalolo,1
2657,Livingstone District,3
2657,Sikongo,2
2657,Nalolo,1
2658,Nalolo,3
2658,NGABWE,2
2658,Sikongo,1
2659,Kitwe District,3
2659,Kafue District,2
2659,Kabuta District,1
2660,Rufunsa,3
2660,Kaoma,2
2660,NGABWE,1
2661,Nalolo,3
2661,Kaoma,2
2661,Kafue District,1
2662,NGABWE,3
2662,Mongu,2
2662,Kalomo District,1
2663,Chongwe District,3
2663,Rufunsa,2
2663,Nyimba,1
2664,CHADIZA,3
2664,Kalomo District,2
2664,Sikongo,1
2665,Luampa,3
2665,Mununga District,2
2665,Mongu,1
2666,Chongwe District,3
2666,Nchenlenge District,2
2666,CHADIZA,1
2667,Lusaka,3
2667,Kitwe District,2
2667,Livingstone District,1
2668,Chongwe District,3
2668,Kaoma,2
2668,Rufunsa,1
2669,Nyimba,3
2669,Nalolo,2
2669,Mongu,1
2670,Kitwe District,3
2670,Lusaka,2
2670,Kafue District,1
2671,Kitwe District,3
2671,chipata,2
2671,Kaoma,1
2672,Kitwe District,3
2672,Livingstone District,2
2672,Nyimba,1
2673,Kasama,3
2673,Livingstone District,2
2673,Kitwe District,1
2674,Mununga District,3
2674,NGABWE,2
2674,Nchenlenge District,1
2675,chipata,3
2675,NGABWE,2
2675,Mongu,1
2676,Kasama,3
2676,Mununga District,2
2676,NGABWE,1
2677,Mununga District,3
2677,Livingstone District,2
2677,Kitwe District,1
2678,Nchenlenge District,3
2678,Kasama,2
2678,Chongwe District,1
2679,Sikongo,3
2679,Nkeyema,2
2679,Luampa,1
2680,Kalomo District,3
2680,Nyimba,2
2680,Nalolo,1
2681,Kalomo District,3
2681,Kafue District,2
2681,Kabuta District,1
2682,CHAMA,3
2682,Lusaka,2
2682,Kaoma,1
2683,Lusaka,3
2683,Kitwe District,2
2683,Livingstone District,1
2684,Kalomo District,3
2684,Livingstone District,2
2684,Lusaka,1
2685,CHAMA,3
2685,Kaoma,2
2685,Nkeyema,1
2686,Kasama,3
2687,NGABWE,3
2687,CHAMA,2
2687,Nyimba,1
2688,Kitwe District,3
2688,CHAMA,2
2688,Nalolo,1
2689,Kasama,3
2689,NGABWE,2
2689,Kabuta District,1
2690,CHADIZA,3
2690,Chongwe District,2
2690,Rufunsa,1
2691,Chongwe District,3
2691,Kabuta District,2
2692,Kafue District,3
2692,Mununga District,2
2692,Rufunsa,1
2693,Kasama,3
2693,Nchenlenge District,2
2693,Chongwe District,1
2694,Kitwe District,3
2694,Mununga District,2
2695,Kafue District,3
2695,Lusaka,2
2695,CHAMA,1
2696,Rufunsa,3
2696,Chongwe District,2
2696,Lusaka,1
2697,Kitwe District,3
2697,Kabuta District,2
2697,Lusaka,1
2698,Kitwe District,3
2698,Lusaka,2
2698,Nyimba,1
2699,Lusaka,3
2699,Kabuta District,2
2699,Kitwe District,1
2700,Kasama,3
2700,Chongwe District,2
2700,Nalolo,1
2701,Lusaka,3
2701,Kafue District,2
2701,Chongwe District,1
2702,Kasama,3
2702,Chongwe District,2
2703,Rufunsa,3
2703,Chongwe District,2
2703,Kasama,1
2704,Lusaka,3
2704,Kafue District,2
2704,Rufunsa,1
2705,Kalomo District,3
2705,Chongwe District,2
2705,Livingstone District,1
2706,CHADIZA,3
2706,CHAMA,2
2706,Kalomo District,1
2707,Kalomo District,3
2707,CHAMA,2
2707,CHADIZA,1
2708,CHADIZA,3
2708,CHAMA,2
2708,Kalomo District,1
